,Gas_Price_(Wei),ETH_Close_Price_(USD),Gas_Price_(USD)
2017-05-11,22276386524,85.15,2e-06
2017-05-12,22224260597,87.96,2e-06
2017-05-13,22176736929,88.72,2e-06
2017-05-14,22054420864,90.32,2e-06
2017-05-15,22225479222,87.8,2e-06
2017-05-16,22338079736,86.98,2e-06
2017-05-17,26658490658,95.88,3e-06
2017-05-18,22641931556,124.38,3e-06
2017-05-19,22510140833,121.94,3e-06
2017-05-20,22578527232,148.0,3e-06
2017-05-21,22366670221,160.39,4e-06
2017-05-22,22950916506,169.5,4e-06
2017-05-23,22876914693,193.03,4e-06
2017-05-24,23511877462,177.33,4e-06
2017-05-25,22627478169,162.83,4e-06
2017-05-26,22767260891,156.63,4e-06
2017-05-27,22312210827,172.86,4e-06
2017-05-28,21916364414,194.17,4e-06
2017-05-29,22429141176,228.58,5e-06
2017-05-30,24758885831,228.64,6e-06
2017-05-31,38210063774,220.7,8e-06
2017-06-01,23808562950,222.04,5e-06
2017-06-02,22913829909,223.74,5e-06
2017-06-03,22677818318,244.96,6e-06
2017-06-04,23508783552,247.75,6e-06
2017-06-05,22886137204,264.26,6e-06
2017-06-06,23539130279,255.77,6e-06
2017-06-07,23555770569,259.41,6e-06
2017-06-08,23571788218,279.11,7e-06
2017-06-09,22518978783,335.95,8e-06
2017-06-10,22422146714,339.68,8e-06
2017-06-11,23843612254,394.66,9e-06
2017-06-12,30391141090,388.09,1.2e-05
2017-06-13,24903912970,343.84,9e-06
2017-06-14,22812812579,344.68,8e-06
2017-06-15,23411815379,353.61,8e-06
2017-06-16,22083654403,368.1,8e-06
2017-06-17,20940055933,351.53,7e-06
2017-06-18,19777146521,358.2,7e-06
2017-06-19,21054562068,350.53,7e-06
2017-06-20,35606261848,325.3,1.2e-05
2017-06-21,58264077197,320.97,1.9e-05
2017-06-22,41150573699,326.85,1.3e-05
2017-06-23,40960227374,304.54,1.2e-05
2017-06-24,47309213754,279.36,1.3e-05
2017-06-25,34521352334,253.68,9e-06
2017-06-26,49580734026,286.14,1.4e-05
2017-06-27,31580245373,315.86,1e-05
2017-06-28,43482890266,292.9,1.3e-05
2017-06-29,35022170593,280.68,1e-05
2017-06-30,27223635401,261.0,7e-06
2017-07-01,26689728580,283.99,8e-06
2017-07-02,25581333280,276.41,7e-06
2017-07-03,28117349173,269.05,8e-06
2017-07-04,24664144555,266.0,7e-06
2017-07-05,26133024523,265.88,7e-06
2017-07-06,24841070314,240.94,6e-06
2017-07-07,27021742038,245.67,7e-06
2017-07-08,26089973919,237.72,6e-06
2017-07-09,26860797614,205.76,6e-06
2017-07-10,22840512365,190.55,4e-06
2017-07-11,24575033101,224.15,6e-06
2017-07-12,24301621064,205.41,5e-06
2017-07-13,23629822115,197.14,5e-06
2017-07-14,23119742999,169.1,4e-06
2017-07-15,26644007281,155.42,4e-06
2017-07-16,24225254470,189.97,5e-06
2017-07-17,25008451290,227.09,6e-06
2017-07-18,26922445269,194.41,5e-06
2017-07-19,25859171423,226.33,6e-06
2017-07-20,23785270501,216.33,5e-06
2017-07-21,34121661718,230.47,8e-06
2017-07-22,24728177686,228.32,6e-06
2017-07-23,24411781141,225.48,6e-06
2017-07-24,24993645320,203.59,5e-06
2017-07-25,26699669746,202.88,5e-06
2017-07-26,26644959295,202.93,5e-06
2017-07-27,25759576270,191.21,5e-06
2017-07-28,25160319003,206.14,5e-06
2017-07-29,24073380192,196.78,5e-06
2017-07-30,23908993567,201.33,5e-06
2017-07-31,22305961187,225.9,5e-06
2017-08-01,25462492943,218.12,6e-06
2017-08-02,25145539900,224.39,6e-06
2017-08-03,24881344614,220.6,5e-06
2017-08-04,22630338284,253.09,6e-06
2017-08-05,23984146001,264.56,6e-06
2017-08-06,24293412889,269.94,7e-06
2017-08-07,25187717437,296.51,7e-06
2017-08-08,23836962422,295.28,7e-06
2017-08-09,24062207266,298.28,7e-06
2017-08-10,24244829373,309.32,7e-06
2017-08-11,25055821756,308.02,8e-06
2017-08-12,24802395477,296.62,7e-06
2017-08-13,22053673388,299.16,7e-06
2017-08-14,22124106465,286.52,6e-06
2017-08-15,21732658516,301.38,7e-06
2017-08-16,34716303601,300.3,1e-05
2017-08-17,29045025650,292.62,8e-06
2017-08-18,44653492844,293.02,1.3e-05
2017-08-19,25853813413,298.2,8e-06
2017-08-20,22972240493,321.85,7e-06
2017-08-21,23061643547,313.37,7e-06
2017-08-22,23423033219,317.4,7e-06
2017-08-23,23256200293,325.28,8e-06
2017-08-24,24488987225,330.06,8e-06
2017-08-25,25311366617,332.86,8e-06
2017-08-26,22816054496,347.88,8e-06
2017-08-27,22152769744,347.66,8e-06
2017-08-28,23023333378,372.35,9e-06
2017-08-29,26062902403,383.86,1e-05
2017-08-30,25922353625,388.33,1e-05
2017-08-31,36202779201,391.42,1.4e-05
2017-09-01,29038234385,351.03,1e-05
2017-09-02,62682734227,352.45,2.2e-05
2017-09-03,24625907338,303.7,7e-06
2017-09-04,27792328086,317.94,9e-06
2017-09-05,30139309787,338.92,1e-05
2017-09-06,36519706124,335.37,1.2e-05
2017-09-07,36147491376,306.72,1.1e-05
2017-09-08,42275877643,303.79,1.3e-05
2017-09-09,29941043195,299.21,9e-06
2017-09-10,36135150446,297.95,1.1e-05
2017-09-11,26441744516,294.1,8e-06
2017-09-12,28430040166,275.84,8e-06
2017-09-13,27123610125,223.14,6e-06
2017-09-14,28372005082,259.57,7e-06
2017-09-15,35527257414,254.49,9e-06
2017-09-16,35281116400,258.4,9e-06
2017-09-17,32847109838,297.53,1e-05
2017-09-18,27527967857,283.0,8e-06
2017-09-19,28240983765,283.56,8e-06
2017-09-20,30102925181,257.77,8e-06
2017-09-21,23983898010,262.94,6e-06
2017-09-22,24379043547,286.14,7e-06
2017-09-23,23562292733,282.6,7e-06
2017-09-24,28226701571,294.89,8e-06
2017-09-25,25547420148,288.64,7e-06
2017-09-26,24571949910,309.97,8e-06
2017-09-27,26548967736,302.77,8e-06
2017-09-28,25409632808,292.58,7e-06
2017-09-29,23184436268,302.77,7e-06
2017-09-30,26231412090,303.95,8e-06
2017-10-01,24190581701,296.81,7e-06
2017-10-02,25376879520,291.81,7e-06
2017-10-03,23882103385,291.68,7e-06
2017-10-04,23689836678,294.99,7e-06
2017-10-05,24302843665,308.33,7e-06
2017-10-06,25759310387,311.26,8e-06
2017-10-07,22705744740,309.49,7e-06
2017-10-08,24091593642,296.95,7e-06
2017-10-09,24174030452,298.46,7e-06
2017-10-10,25058292801,302.86,8e-06
2017-10-11,30039329444,302.89,9e-06
2017-10-12,24512657109,336.83,8e-06
2017-10-13,26489325565,338.81,9e-06
2017-10-14,24196653845,336.58,8e-06
2017-10-15,23514174126,334.23,8e-06
2017-10-16,16678649826,316.14,5e-06
2017-10-17,14194850634,313.54,4e-06
2017-10-18,14081137033,307.41,4e-06
2017-10-19,12235259269,303.08,4e-06
2017-10-20,14610349751,299.55,4e-06
2017-10-21,12128683877,294.03,4e-06
2017-10-22,10751750663,285.27,3e-06
2017-10-23,13780011469,296.5,4e-06
2017-10-24,14415708346,296.35,4e-06
2017-10-25,12720316553,295.54,4e-06
2017-10-26,12385996259,296.36,4e-06
2017-10-27,11545392383,293.35,3e-06
2017-10-28,10491940195,304.04,3e-06
2017-10-29,10371979124,306.8,3e-06
2017-10-30,11808258897,303.64,4e-06
2017-10-31,13692446133,289.42,4e-06
2017-11-01,14979336359,284.92,4e-06
2017-11-02,15919836477,304.51,5e-06
2017-11-03,12781813101,300.04,4e-06
2017-11-04,11624799927,295.8,3e-06
2017-11-05,10703460687,296.82,3e-06
2017-11-06,10433598351,291.84,3e-06
2017-11-07,13393206633,307.35,4e-06
2017-11-08,16154783877,319.66,5e-06
2017-11-09,15785570759,296.86,5e-06
2017-11-10,15036090671,314.23,5e-06
2017-11-11,15394750336,306.02,5e-06
2017-11-12,18011273725,314.6,6e-06
2017-11-13,16603636136,334.72,6e-06
2017-11-14,16704405736,331.2,6e-06
2017-11-15,17408995522,330.32,6e-06
2017-11-16,16023943398,331.72,5e-06
2017-11-17,16406020669,346.65,6e-06
2017-11-18,13339014477,354.6,5e-06
2017-11-19,14229082585,367.71,5e-06
2017-11-20,16089304528,360.52,6e-06
2017-11-21,17548793491,380.84,7e-06
2017-11-22,16469836119,406.57,7e-06
2017-11-23,15992127664,470.43,8e-06
2017-11-24,15456892039,464.61,7e-06
2017-11-25,12891179323,470.54,6e-06
2017-11-26,14953923259,475.24,7e-06
2017-11-27,15537337870,466.27,7e-06
2017-11-28,16779210323,427.42,7e-06
2017-11-29,17499867713,434.85,8e-06
2017-11-30,16354038320,461.58,8e-06
2017-12-01,14561757161,457.96,7e-06
2017-12-02,13179215357,462.81,6e-06
2017-12-03,14068434201,466.93,7e-06
2017-12-04,21962218932,453.96,1e-05
2017-12-05,30921177676,422.48,1.3e-05
2017-12-06,42116421717,421.15,1.8e-05
2017-12-07,59656597683,451.74,2.7e-05
2017-12-08,61102848374,472.86,2.9e-05
2017-12-09,55563635227,436.49,2.4e-05
2017-12-10,43572173439,513.29,2.2e-05
2017-12-11,35272081823,656.52,2.3e-05
2017-12-12,38367405491,699.09,2.7e-05
2017-12-13,38631503447,693.58,2.7e-05
2017-12-14,41791954659,684.27,2.9e-05
2017-12-15,35432934113,692.83,2.5e-05
2017-12-16,35296363949,717.71,2.5e-05
2017-12-17,29121338315,785.99,2.3e-05
2017-12-18,27442929390,812.5,2.2e-05
2017-12-19,34330952644,799.17,2.7e-05
2017-12-20,41559360197,789.39,3.3e-05
2017-12-21,41640835518,657.83,2.7e-05
2017-12-22,40786863196,700.44,2.9e-05
2017-12-23,33285710975,675.91,2.2e-05
2017-12-24,30228420219,723.14,2.2e-05
2017-12-25,26111076108,753.48,2e-05
2017-12-26,25927218047,739.94,1.9e-05
2017-12-27,25108575762,716.69,1.8e-05
2017-12-28,24132948080,739.6,1.8e-05
2017-12-29,25027593719,692.99,1.7e-05
2017-12-30,24163343242,741.27,1.8e-05
2017-12-31,24709168252,757.22,1.9e-05
2018-01-01,23306357402,861.97,2e-05
2018-01-02,26315022737,941.1,2.5e-05
2018-01-03,27919698108,944.83,2.6e-05
2018-01-04,33357029107,963.88,3.2e-05
2018-01-05,84460889356,1008.36,8.5e-05
2018-01-06,95788574583,1117.75,0.000107
2018-01-07,74588438927,1136.11,8.5e-05
2018-01-08,73644673858,1289.24,9.5e-05
2018-01-09,76790296973,1248.99,9.6e-05
2018-01-10,95442073535,1139.32,0.000109
2018-01-11,82600430565,1261.03,0.000104
2018-01-12,60014533220,1385.02,8.3e-05
2018-01-13,63717170951,1359.48,8.7e-05
2018-01-14,58397110440,1278.69,7.5e-05
2018-01-15,53860527328,1050.26,5.7e-05
2018-01-16,54778776336,1024.69,5.6e-05
2018-01-17,52114059603,1012.97,5.3e-05
2018-01-18,53748001984,1037.36,5.6e-05
2018-01-19,51161244711,1150.5,5.9e-05
2018-01-20,51085545977,1049.09,5.4e-05
2018-01-21,40356756648,999.64,4e-05
2018-01-22,33802546511,984.47,3.3e-05
2018-01-23,39247302060,1061.78,4.2e-05
2018-01-24,37646911483,1046.37,3.9e-05
2018-01-25,33569002791,1048.58,3.5e-05
2018-01-26,28114173259,1109.08,3.1e-05
2018-01-27,27546279427,1231.58,3.4e-05
2018-01-28,27800189170,1169.96,3.3e-05
2018-01-29,37028443300,1063.75,3.9e-05
2018-01-30,30081646328,1111.31,3.3e-05
2018-01-31,29402730461,1026.19,3e-05
2018-02-01,40436332603,917.47,3.7e-05
2018-02-02,35386250064,970.87,3.4e-05
2018-02-03,29301000333,827.59,2.4e-05
2018-02-04,29029951503,695.08,2e-05
2018-02-05,26867195837,785.01,2.1e-05
2018-02-06,27964527864,751.81,2.1e-05
2018-02-07,26694182218,813.55,2.2e-05
2018-02-08,24968333160,877.88,2.2e-05
2018-02-09,22856286885,850.75,1.9e-05
2018-02-10,23836230354,811.24,1.9e-05
2018-02-11,21902813565,865.27,1.9e-05
2018-02-12,20824108310,840.98,1.8e-05
2018-02-13,21675219499,920.11,2e-05
2018-02-14,22501126990,927.95,2.1e-05
2018-02-15,21565784189,938.02,2e-05
2018-02-16,21590561665,974.77,2.1e-05
2018-02-17,21836733413,913.9,2e-05
2018-02-18,23119908681,939.79,2.2e-05
2018-02-19,19905796465,885.52,1.8e-05
2018-02-20,20246730594,840.1,1.7e-05
2018-02-21,19358082715,804.63,1.6e-05
2018-02-22,17902757911,854.7,1.5e-05
2018-02-23,18833737841,833.49,1.6e-05
2018-02-24,19384760070,840.28,1.6e-05
2018-02-25,16760068675,867.62,1.5e-05
2018-02-26,17771487138,871.1,1.5e-05
2018-02-27,17894714377,853.31,1.5e-05
2018-02-28,20187807483,872.05,1.8e-05
2018-03-01,18473527342,857.06,1.6e-05
2018-03-02,20451455718,855.89,1.8e-05
2018-03-03,16322757085,867.2,1.4e-05
2018-03-04,17306576278,845.58,1.5e-05
2018-03-05,19642692604,815.14,1.6e-05
2018-03-06,18179260115,751.13,1.4e-05
2018-03-07,19767121442,698.83,1.4e-05
2018-03-08,18357044883,726.92,1.3e-05
2018-03-09,17752199400,682.3,1.2e-05
2018-03-10,14790736580,720.36,1.1e-05
2018-03-11,13799398206,697.02,1e-05
2018-03-12,15351654962,689.96,1.1e-05
2018-03-13,13206717876,613.15,8e-06
2018-03-14,14203805847,610.56,9e-06
2018-03-15,14353164971,600.53,9e-06
2018-03-16,16340801409,549.79,9e-06
