,ETH_Daily_Volume,ETH_Close_Price_(USD)
2019-02-11,2594898977.24,121.87
2019-02-12,2822361371.37,121.73
2019-02-13,2662650495.54,120.44
2019-02-14,2857806129.65,120.71
2019-02-15,2534856655.27,122.62
2019-02-16,3867618052.51,133.99
2019-02-17,5398379025.61,146.29
2019-02-18,4904237942.36,144.06
2019-02-19,4637635460.48,148.87
2019-02-20,3938712174.17,145.55
2019-02-21,3559805140.2,148.19
2019-02-22,4769745695.32,158.99
2019-02-23,5921225944.3,133.21
2019-02-24,5002434776.79,138.52
2019-02-25,3757908637.83,136.68
2019-02-26,4502853407.02,135.45
2019-02-27,4521717463.1,135.69
2019-02-28,3321160833.48,135.56
2019-03-01,3630323459.83,133.23
2019-03-02,3656671208.69,130.72
2019-03-03,4667067909.55,126.19
2019-03-04,5114706524.23,137.26
2019-03-05,4801646209.01,137.83
2019-03-06,4434151430.01,137.09
2019-03-07,4401072599.21,133.72
2019-03-08,4745860789.83,137.46
2019-03-09,4337067164.2,135.89
2019-03-10,4746774783.51,132.75
2019-03-11,4794835569.3,133.69
2019-03-12,4221997297.49,132.14
2019-03-13,4503279878.62,132.28
2019-03-14,4719326473.99,136.66
2019-03-15,4900585249.75,141.71
2019-03-16,3739864580.49,139.21
2019-03-17,4645264066.45,137.66
2019-03-18,4079161439.4,138.83
2019-03-19,4584984420,139.51
2019-03-20,5165290138.82,135.34
2019-03-21,4454579675,136.47
2019-03-22,4116133695.47,137.25
2019-03-23,4778129814.54,136.2
2019-03-24,5456815394.99,133.55
2019-03-25,5867830024.2,134.0
2019-03-26,5939180042.74,139.71
2019-03-27,5272713589.73,138.17
2019-03-28,5897770542.25,143.49
2019-03-29,5627399782.53,142.57
2019-03-30,4473087168.06,141.81
2019-03-31,4928247255.87,141.52
2019-04-01,10397124237.79,165.02
2019-04-02,12308904950.88,161.19
2019-04-03,9014942013.03,157.77
2019-04-04,7530832353.27,166.31
2019-04-05,7213060667.81,165.98
2019-04-06,7919000515.59,175.23
2019-04-07,10177710702.36,180.74
2019-04-08,8220758224.75,176.27
2019-04-09,8676438182.96,177.43
2019-04-10,8020983124.13,165.14
2019-04-11,6288372334.13,164.34
2019-04-12,4720437872.02,164.11
2019-04-13,4994148466.57,168.19
2019-04-14,5808675448.37,160.29
2019-04-15,5259739781.75,166.65
2019-04-16,5455418374.09,166.83
2019-04-17,6719546608.27,174.19
2019-04-18,6578826793.73,173.91
2019-04-19,5795850874.91,173.95
2019-04-20,5861978662.87,170.1
2019-04-21,5999761284.97,171.77
2019-04-22,6667696931.69,170.6
2019-04-23,6941312418.1,166.04
2019-04-24,6414105387.93,152.97
2019-04-25,6860221851.56,155.61
2019-04-26,5002230868.29,157.09
2019-04-27,4855139350.38,156.75
2019-04-28,5728275255.95,155.1
2019-04-29,5795167087.47,162.66
2019-04-30,4943931152.78,160.45
2019-05-01,5136497788.57,162.05
2019-05-02,6424760559.6,167.42
2019-05-03,5591245571.67,163.87
2019-05-04,4661555870.38,163.45
2019-05-05,7053482363.01,173.08
2019-05-06,7907909355.54,168.36
2019-05-07,5454115342.99,171.26
2019-05-08,5745435661.5,170.41
2019-05-09,7497239093.36,172.44
2019-05-10,13022439696.33,192.73
2019-05-11,10448413966.22,188.19
2019-05-12,9378761535.16,196.02
2019-05-13,11768097378.86,217.3
2019-05-14,14138277938.09,248.62
2019-05-15,19546661281.15,264.57
2019-05-16,15145148238.77,244.75
2019-05-17,8425288690.8,234.04
2019-05-18,9890511603.68,260.71
2019-05-19,8662127273.79,252.43
2019-05-20,7783864243.69,254.73
2019-05-21,7675862912.93,243.6
2019-05-22,8940729980.63,245.51
2019-05-23,7394944248.64,249.65
2019-05-24,6533687020.3,251.61
2019-05-25,8180337638.76,267.98
2019-05-26,9397133325.11,271.9
2019-05-27,7625135110.05,271.16
2019-05-28,6917735877.61,269.38
2019-05-29,10835508726.09,254.66
2019-05-30,8444396221.07,267.81
2019-05-31,6693392841.59,264.63
2019-06-01,5523951935.77,269.3
2019-06-02,6440234292.05,249.85
2019-06-03,7624947105.47,241.0
2019-06-04,5415060782.79,246.2
2019-06-05,5195501340.38,249.45
2019-06-06,5110923151.4,249.68
2019-06-07,4115873732.95,244.52
2019-06-08,5242661050.46,231.44
2019-06-09,5752274577.14,247.93
2019-06-10,4901285993.28,245.28
2019-06-11,6862404241,262.96
2019-06-12,6103988029.04,255.22
2019-06-13,6131581860.21,263.77
2019-06-14,5526853561.93,269.06
2019-06-15,6805157520.63,268.48
2019-06-16,6254074586.59,274.01
2019-06-17,6250018239.39,264.55
2019-06-18,5125190505.29,268.95
2019-06-19,6096624751.25,271.9
2019-06-20,10353639390.29,295.94
2019-06-21,10710201094.26,309.57
2019-06-22,7658646307.76,307.22
2019-06-23,7197795171.15,311.1
2019-06-24,8694362209.86,316.17
2019-06-25,16901689099.25,334.45
2019-06-26,14540139147.55,293.91
2019-06-27,9829623913.26,309.62
2019-06-28,9183621050.74,317.78
2019-06-29,9195361515.87,290.55
2019-06-30,9235218820.35,294.14
2019-07-01,9061287787.91,291.6
2019-07-02,8279068581.94,302.18
2019-07-03,6719093331.63,282.93
2019-07-04,6716664165.18,288.02
2019-07-05,6067144660.88,287.97
2019-07-06,6957930774.9,306.48
2019-07-07,7617273504.1,313.18
2019-07-08,7899517948.67,308.14
2019-07-09,9968274157.93,288.81
2019-07-10,9178093576.01,268.49
2019-07-11,6545169861.04,275.47
2019-07-12,5859281999.6,268.99
2019-07-13,8003274303.27,226.64
2019-07-14,9422304415.91,228.18
2019-07-15,9604432137.25,198.65
2019-07-16,8174098258.04,211.38
2019-07-17,8145511967.58,225.85
2019-07-18,6570169173.86,221.3
2019-07-19,6963200583.49,228.75
2019-07-20,6163552429.12,225.39
2019-07-21,31897309025.24,217.15
2019-07-22,6411907892.25,211.86
2019-07-23,6820106782.82,216.55
2019-07-24,5747827436.06,219.09
2019-07-25,5346484001.79,219.3
2019-07-26,5177058932.75,207.2
2019-07-27,4566967650.75,211.13
2019-07-28,4695607189.11,210.86
2019-07-29,4618992373.53,210.14
2019-07-30,5147312116.8,218.63
2019-07-31,4663166752.83,217.56
2019-08-01,5010962059.33,217.74
2019-08-02,4441942419.64,222.14
2019-08-03,4476370301.78,222.76
2019-08-04,6862040114.79,233.33
2019-08-05,6345759213.4,226.02
2019-08-06,5417912436,226.07
2019-08-07,5185197484.1,221.08
2019-08-08,5839560826.41,210.37
2019-08-09,5519044795.54,206.0
2019-08-10,5133688189.91,216.2
2019-08-11,4788714219.76,211.35
2019-08-12,4948234417.29,208.74
2019-08-13,6077735189.95,186.49
2019-08-14,6700788978.19,188.13
2019-08-15,5429453088.63,185.35
2019-08-16,4318106419.93,185.61
2019-08-17,4706435236.63,194.75
2019-08-18,4608919642.68,202.39
2019-08-19,4871895348.41,196.78
2019-08-20,5816344048.28,187.23
2019-08-21,5276932443.57,190.46
2019-08-22,4768491086.95,194.47
2019-08-23,4369126332.78,191.02
2019-08-24,4168998321.84,186.61
2019-08-25,4923471232.99,188.43
2019-08-26,4094324826.71,187.13
2019-08-27,5145221984,172.97
2019-08-28,5184522971.06,168.97
2019-08-29,4313823804.1,168.54
2019-08-30,4844479722.58,172.18
2019-08-31,4762463810.3,171.34
2019-09-01,5519227388.67,178.77
2019-09-02,5290626134.73,179.03
2019-09-03,4285927332.87,174.97
2019-09-04,4388788620.22,173.65
2019-09-05,5343474348.2,169.08
2019-09-06,5400734196.57,178.15
2019-09-07,5267154500.16,181.74
2019-09-08,5568606718.34,180.72
2019-09-09,4632977852.33,179.95
2019-09-10,5623093747.84,178.29
2019-09-11,3999143117.51,181.05
2019-09-12,4164707636.04,181.52
2019-09-13,5002448424.82,188.65
2019-09-14,4560478400.2,189.24
2019-09-15,6288390556.97,197.63
2019-09-16,7631281529.64,207.85
2019-09-17,6426590728.87,210.38
2019-09-18,8002225557.63,221.04
2019-09-19,5781838875.06,218.18
2019-09-20,5358937040.78,215.25
2019-09-21,5750208383.52,211.28
2019-09-22,5506873669.07,200.97
2019-09-23,9169411543.87,166.66
2019-09-24,7106630318.18,170.38
2019-09-25,6106119763.58,166.1
2019-09-26,5987603952.62,174.28
2019-09-27,5190413384.66,173.93
2019-09-28,4697722622.74,169.69
2019-09-29,5888917715.04,181.34
2019-09-30,5445106561.44,176.44
2019-10-01,4354896679.81,181.09
2019-10-02,4219045320.76,175.15
2019-10-03,4172414331.42,176.1
2019-10-04,3425910351.4,177.1
2019-10-05,3442843730.19,170.35
2019-10-06,5386317455.02,180.4
2019-10-07,4850247653,181.04
2019-10-08,6564508175.51,193.43
2019-10-09,5415899120.41,191.96
2019-10-10,5985761180.28,180.88
2019-10-11,4380819893.3,180.06
2019-10-12,4044521824.56,181.52
2019-10-13,5037288405.46,187.1
2019-10-14,5164404701.34,180.72
2019-10-15,4935439104.28,174.95
2019-10-16,4212315062.95,177.41
2019-10-17,4936705776.99,173.4
2019-10-18,4100428363.84,172.31
2019-10-19,4421585157.3,175.83
2019-10-20,4415826309.04,174.33
